player,season,team,runs_scored,bat_avg,bat_sr
Krunal,2018,Mumbai Indians,228.0,17.54,145.22
Uthappa,2018,Kolkata Knight Riders,351.0,21.94,132.95
Rohit,2018,Mumbai Indians,286.0,20.43,133.64
Y Pathan,2018,Sunrisers Hyderabad,260.0,20.0,130.0
Samson,2018,Rajasthan Royals,441.0,29.4,137.81
Mandeep,2018,Royal Challengers Bangalore,252.0,19.38,135.48
Hardik Pandya,2018,Mumbai Indians,260.0,20.0,131.98
Nitish Rana,2018,Kolkata Knight Riders,304.0,20.27,131.03
Lewis,2018,Mumbai Indians,382.0,29.38,137.41
R Tripathi,2018,Rajasthan Royals,165.0,20.62,132.0
Dhoni,2018,Chennai Super Kings,455.0,30.33,151.16
Raina,2018,Chennai Super Kings,445.0,29.67,132.84
du Plessis,2018,Chennai Super Kings,162.0,27.0,126.56
Prithvi Shaw,2018,Delhi Daredevils,245.0,27.22,153.12
Shreyas Iyer,2018,Delhi Daredevils,411.0,31.62,133.01
Vijay Shankar,2018,Delhi Daredevils,212.0,23.56,144.22
Gayle,2018,Kings XI Punjab,368.0,33.45,146.03
Nair,2018,Kings XI Punjab,301.0,25.08,135.59
Lynn,2018,Kolkata Knight Riders,491.0,30.69,130.24
Karthik,2018,Kolkata Knight Riders,498.0,31.12,148.21
Shubman Gill,2018,Kolkata Knight Riders,203.0,20.3,146.04
Ishan Kishan,2018,Mumbai Indians,275.0,22.92,149.46
Suryakumar Yadav,2018,Mumbai Indians,512.0,36.57,133.33
Buttler,2018,Rajasthan Royals,548.0,42.15,155.68
Pant,2018,Delhi Daredevils,684.0,48.86,173.6
Rahul,2018,Kings XI Punjab,659.0,47.07,158.8
Rahane,2018,Rajasthan Royals,370.0,26.43,118.21
Rayudu,2018,Chennai Super Kings,602.0,37.62,150.12
Watson,2018,Chennai Super Kings,555.0,37.0,154.6
Stokes,2018,Rajasthan Royals,196.0,16.33,122.5
Kohli,2018,Royal Challengers Bangalore,530.0,37.86,139.84
Parthiv Patel,2018,Royal Challengers Bangalore,153.0,25.5,140.37
de Kock,2018,Royal Challengers Bangalore,201.0,25.12,124.07
de Villiers,2018,Royal Challengers Bangalore,480.0,43.64,174.55
Dhawan,2018,Sunrisers Hyderabad,495.0,30.94,136.74
Manish Pandey,2018,Sunrisers Hyderabad,284.0,21.85,114.52
Shakib,2018,Sunrisers Hyderabad,235.0,18.08,119.9
Williamson,2018,Sunrisers Hyderabad,735.0,43.24,142.72
A Russell,2018,Kolkata Knight Riders,316.0,22.57,185.88
Narine,2018,Kolkata Knight Riders,357.0,22.31,188.89
Maxwell,2018,Delhi Daredevils,169.0,14.08,140.83
