id,date,date_format,type,percentage_change,explanation,short_description
1,9 May 2013,"2013-05-09",gain,24.4,"Tesla reports its first quarterly profit 11 million. This was the biggest one-day jump in TSLA stock","First quarterly profit since the company went public"
2,1 Oct 2018,"2018-10-01",gain,17.3,"Musk settled the charges with the SEC, agreeing to pay a civil penalty of $20 million and give up his role as chairman of the board for at least three years","'Taking private' tweet charges settled with SEC"
3,3 Dec 2013,"2013-12-03",gain,16.5,"Reports that the Model S was cleared of any defect by the German Federal Motor Transport Authority after three crashes involving the car ended in fires","Model S cleared of defects after crashes involving fire"
4,2 Aug 2018,"2018-08-02",gain,16.2,"Second quarter earnings report, less-than-expected cash burn, CEO Elon Musk's apologies for his attitude in a previous earnings call","Optimistic second quarter earnings report"
5,14 Jan 2014,"2014-01-13",gain,15.7,"Deliveries of Model S in the fourth quarter blew past what the company had forecast","Model S deliveries beats forecast"
6,6 Nov 2013,"2013-11-06",loss,-14.5,"Underwhelming third-quarter results, news of third Model S fire","Poor 3rd quarter, third Model S fire"
7,16 Jul 2013,"2013-07-16",loss,-14.3,"Goldman analyst Patrick Archambault put out a report with a price target on the stock of $84, a 34 percent discount to the prior day close of $127.26.","Goldman Sachs undervalues Tesla stock price"
8,28 Sep 2018,"2018-09-28",loss,-13.9,"More than six weeks after Musk tweeted 'funding secured', the SEC sued the Tesla CEO for issuing “false and misleading” statements and for failing to properly notify regulators of material company events. ","SEC sues Elon Musk for 'funding secured' tweet"
9,25 Jul 2019,"2019-07-25",loss,-13.6,"Reported a wider-than-expected loss, disappointing revenue and announced the departure of co-founder and CTO JB Straubel from the executive ranks.","Disappointing revenue, departure of CTO"
10,18 Jan 2019,"2019-01-18",loss,-12.9,"The announcement of an ~7% job cut along with Musk’s warnings about challenges and rising competition","Announcement of 7% job cut, rising competition"
11,7 Aug 2018,"2018-08-07",tweet,10.9,"Elon Musk tweets suggesting that he was considering taking Tesla private at $420 a share — which was a 20% premium to the company’s stock price at the time","Taking TESLA private tweet"
12,16 Jul 2018,"2018-07-16",tweet,-2.75,"Musk suggested that a British cave diver who was part a team that rescued a Thai soccer team from a cave was a pedophile. Musk made the remark after the diver, Vern Unsworth, dismissed Musk's offer to send a mini-submarine to help with rescue efforts as a 'PR stunt'","'Pedophile' cave diver tweet"
13,20 Feb 2019,"2019-02-20",tweet,-1.0,"Musk committed an epic Twitter gaffe when he projected Tesla's full-year 2019 manufacturing numbers at 5,00,000. The production projection immediately sent the media into overdrive because the estimate was much higher than expected. Hours later, Musk clarified his original tweet, saying he 'meant to say' the company's annualized production rate at the end of 2019 could reach 500,000 vehicles",  Misleading production projection tweet
14,1 Apr 2018,"2018-04-01",tweet,-5.1,"As Tesla struggles to ramp up Model 3 production and blows deadlines, Musk issues an April Fools’ tweet declaring his automaker 'bankrupt'","April Fools' tweet"
15,15 May 2018,"2018-05-15",tweet,-2.6,"After a Tesla in Autopilot mode hit a stopped fire truck, Musk defended the sorta-self-driving system and criticized the media for covering it","Tweet criticising media coverage of Autopilot accidents"
16,3 May 2018,"2018-05-03",tweet,-5.5,"At an earnings call, during an exchange between an analyst and Tesla’s CFO, about capital expenditures, Musk interrupted suddenly 'Excuse me, next. Boring, bonehead questions are not cool. Next?'","Boring boneheaded tweet"
17,7 Sep 2018,"2018-09-07",tweet,-6.3,"Elon Musk appeared to smoke marijuana during an interview streamed on the web","Marijuana interview tweet"
